epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,106.343,0.31651,0.30176,0.87192,0.99828,1,0.995,0.995,0.14579,0.18289,0.78149,0.0002378,0.0002378,0.0002378
91,125.038,0.17472,0.25234,0.77834,0.99827,1,0.995,0.995,0.15333,0.19804,0.78059,0.000218,0.000218,0.000218
92,126.421,0.17355,0.25451,0.77849,0.99826,1,0.995,0.995,0.15318,0.20555,0.77899,0.0001982,0.0001982,0.0001982
93,127.648,0.14767,0.23962,0.77203,0.99828,1,0.995,0.995,0.15532,0.20827,0.77761,0.0001784,0.0001784,0.0001784
94,128.815,0.16446,0.24402,0.75412,0.99825,1,0.995,0.995,0.15503,0.21427,0.77741,0.0001586,0.0001586,0.0001586
95,129.976,0.183,0.25802,0.77868,0.99825,1,0.995,0.995,0.14618,0.20741,0.77714,0.0001388,0.0001388,0.0001388
96,131.162,0.23914,0.26878,0.79843,0.99829,1,0.995,0.995,0.14417,0.19681,0.77713,0.000119,0.000119,0.000119
97,132.344,0.18167,0.25444,0.79102,0.99831,1,0.995,0.995,0.14724,0.18827,0.77701,9.92e-05,9.92e-05,9.92e-05
98,133.491,0.15441,0.2173,0.80831,0.99829,1,0.995,0.995,0.14887,0.1823,0.77779,7.94e-05,7.94e-05,7.94e-05
99,134.663,0.17025,0.23607,0.73248,0.99827,1,0.995,0.995,0.14924,0.18311,0.77781,5.96e-05,5.96e-05,5.96e-05
100,135.825,0.16745,0.21928,0.79055,0.99824,1,0.995,0.995,0.14507,0.17769,0.77737,3.98e-05,3.98e-05,3.98e-05
