epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,65.5928,0.44217,0.42367,0.92216,0.99643,1,0.995,0.9846,0.27058,0.43753,0.78991,0.0008318,0.0008318,0.0008318
61,66.6456,0.39197,0.41087,0.89395,0.99519,1,0.995,0.98331,0.25784,0.50018,0.78858,0.000812,0.000812,0.000812
62,67.7338,0.38458,0.41942,0.9016,0.99248,1,0.995,0.98154,0.21812,0.77944,0.78476,0.0007922,0.0007922,0.0007922
63,68.7695,0.42762,0.4261,0.89606,0.99421,1,0.995,0.97606,0.23273,0.62727,0.78583,0.0007724,0.0007724,0.0007724
64,69.8132,0.38262,0.42242,0.88561,0.99686,1,0.995,0.98268,0.20997,0.35729,0.77947,0.0007526,0.0007526,0.0007526
65,70.8561,0.3878,0.38499,0.88935,0.99557,1,0.995,0.98716,0.2184,0.53624,0.7783,0.0007328,0.0007328,0.0007328
66,71.927,0.43903,0.41651,0.96577,0.99591,1,0.995,0.98799,0.20059,0.44279,0.77501,0.000713,0.000713,0.000713
67,72.9649,0.39378,0.39963,0.90118,0.99692,1,0.995,0.99163,0.19123,0.39549,0.77508,0.0006932,0.0006932,0.0006932
68,74.0124,0.38795,0.3766,0.8829,0.99797,1,0.995,0.99132,0.18475,0.31666,0.77448,0.0006734,0.0006734,0.0006734
69,75.0298,0.37048,0.38245,0.87202,0.99821,1,0.995,0.995,0.18031,0.28865,0.77248,0.0006536,0.0006536,0.0006536
70,76.0961,0.36297,0.38348,0.88664,0.99823,1,0.995,0.995,0.21,0.31337,0.77448,0.0006338,0.0006338,0.0006338
71,77.1558,0.36174,0.37345,0.89187,0.99812,1,0.995,0.99145,0.20967,0.31987,0.77431,0.000614,0.000614,0.000614
72,78.2242,0.33885,0.36933,0.8816,0.99831,1,0.995,0.995,0.18198,0.2517,0.77294,0.0005942,0.0005942,0.0005942
73,79.2648,0.33925,0.35664,0.8572,0.99834,1,0.995,0.995,0.18317,0.23906,0.77302,0.0005744,0.0005744,0.0005744
